headline,label
INSTAGRAM ‘ಶೌಚಾಲಯವೊಂದನ್ನು ನೋಡುವ ಸಲುವಾಗಿ ಜಗತ್ತಿನ ಅರ್ಧದಾರಿ ಪಯಣಿಸಿದ‘ ಬಿಲ್ ಗೇಟ್ಸ್,2
ಭಾರತಇಂಗ್ಲೆಂಡ್ ಎರಡನೇ ಟೆಸ್ಟ್ ಬುಮ್ರಾ ಡೌಟ್,1
 ಟ್ರೆಂಡಿಂಗ್ನಲ್ಲಿದೆ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಪಾಠ ಶಾಲೆಯ ದಡ್ಡ ಹಾಡು,0
(LIVE) ಐಪಿಎಲ್ 2018 ಕೋಲ್ಕತ್ತಾ  ಪಂಜಾಬ್ ಪಂಜಾಬ್ ತಂಡಕ್ಕೆ 9 ವಿಕೆಟ್ಸ್ನ ಭರ್ಜರಿ ಜಯ,1
ಸೂಪರ್ ಕಪ್ ಫೈನಲ್ಗೆ ಬೆಂಗಳೂರು ಎಫ್ಸಿ ಏ 20ರಂದು ಫೈನಲ್ ಫೈಟ್,1
Video ನಟಿ ಹರಿಪ್ರಿಯಾ ಚಾಮುಂಡಿ ಬೆಟ್ಟ ಹತ್ತಿದ್ದು ಏಕೆ ಎಂದು ತಿಳಿಯೋಕೆ ಈ ವಿಡಿಯೋ ನೋಡಿ,0
ಉಕ ಜಿಲ್ಲಾ ಮಟ್ಟದ ನಾಟಕ ಸ್ಪರ್ಧೆಗಳಿಗೆ ಚಾಲನೆ  ಮನ ಸೆಳೆದ ಕಾಲೇಜು ವಿದ್ಯಾರ್ಥಿಗಳ ನಾಟಕ,0
80 ಬಾರಿ ಸಹ ನಟಿಯರ ಮೇಲೆ ಅತ್ಯಾಚಾರವೆಸಗಿದ್ದ ಬಾಲಿವುಡ್ ನಟ ಯಾರು ಗೊತ್ತಾ,0
ಕನ್ನಡದಲ್ಲಿ ಹೆಸರಾಂತ ಬರಹಗಾರರಿದ್ದರೂ ಸಿನಿಮಾ ವಿಷಯದಲ್ಲಿ ಮಡಿವಂತಿಕೆ ಬಿಡುತ್ತಿಲ್ಲ  ನಿರ್ದೇಶಕ ರಿಷಬ್ ಶೆಟ್ಟಿ,0
ಈ ವಾರ(ಏ20) ತೆರೆಗೆ ಥ್ರಿಲ್ಲರ್ ಕಥಾನಕವಿರುವ 6 ಟು 6 ಸಿನಿಮಾ,0
ಅತಿಥಿ ಅಂಡರ್ ವಾಟರ್ ಫೋಟೋಗ್ರಾಫರ್ ಧೀರಜ್ ಅವರೊಂದಿಗಿನ ಮಾತುಕತೆ ಭಾಗ1,0
ಆಸ್ಟ್ರೇಲಿಯಾ 291 ಆಲೌಟ್ ಅಡಿಲೇಡ್ ಟೆಸ್ಟ್ನಲ್ಲಿ ಭಾರತಕ್ಕೆ ಐತಿಹಾಸಿಕ ಗೆಲುವು,1
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018 ಮೆಕ್ಸಿಕೊ ವಿರುದ್ಧ ನೇಮರ್ ಅಬ್ಬರ ಕ್ವಾರ್ಟರ್ ಫೈನಲ್ಗೆ ಲಗ್ಗೆ ಇಟ್ಟ ಬ್ರೆಜಿಲ್,1
ಚೆಂಡು ವಿರೂಪ ಶ್ರೀಲಂಕಾ ಕ್ರಿಕೆಟ್ ತಂಡದ ನಾಯಕ ಚಂಡಿಮಲ್ಗೆ ಪಂದ್ಯ ನಿಷೇಧ,1
ಮನೆ ಬಾಡಿಗೆ ಕಟ್ಟದ ಸ್ಥಿತಿಗೆ ಬಂದಿದ್ದಾಳಾ ಮರ್ಡರ್ ಹಿರೋಯಿನ್,0
ಭಾರತ  ವಿಂಡೀಸ್ ಕೊನೆಗೂ ಕಣ್ತೆರೆದ ಬಿಸಿಸಿಐ ಅಭ್ಯಾಸ ಪಂದ್ಯಕ್ಕೆ ಕನ್ನಡಿಗ ಮಯಾಂಕ್ ಆಯ್ಕೆ,1
‘ತಿರ್ಬೋಕಿಗಳು’ ಚಿತ್ರದ ಟೀಸರ್ ಬಿಡುಗಡೆ,0
ಸಂಜು ಸಿನಿಮಾದ ಮತ್ತೊಂದು ಪೋಸ್ಟರ್ ಬಿಡುಗಡೆ ಮಾಡಿದ ಹಿರಾನಿ,0
ಭಾರತಪಾಕ್ ವಿಭಜನೆ ಮಾಡುತ್ತಿದೆ ಖ್ಯಾತ ನಿರ್ದೇಶಕ ಶೇಖರ್ ಕಪೂರ್ರ ಟ್ವೀಟ್,0
ಅತಿಥಿ ಸಿಪಿ ಯೋಗೇಶ್ವರ್ ಪತ್ನಿ ಶೀಲಾ ಯೋಗೇಶ್ವರ್ ಅವರೊಂದಿಗಿನ ಮಾತುಕತೆ ಭಾಗ2,0
ಚಂದನವನದ ರೆಬೆಲ್ 66ರ ಸಂಭ್ರಮ ಅಂಬರೀಷ ಹುಟ್ಟುಹಬ್ಬ ಆಚರಿಸಿದ,0
ರಾಜಕೀಯ ಪ್ರಚಾರದಲ್ಲಿ ಸ್ಯಾಂಡಲ್ವುಡ್ ಮಂದಿ ಯಾರ್ಯಾರ ಪರ ನಿಲ್ಲಲಿದ್ದಾರೆ ಚಂದನವನದ ತಾರೆಯರು,0
(VIDEO) ಬುಮ್ರಾ ಯಾರ್ಕರ್ ದಾಳಿಗೆ ಉಡೀಸ್ 39 ವರ್ಷಗಳ ನೆಲಸಮ,1
ಬಿಡುಗಡೆಗೆ ಸಜ್ಜಾಗುತ್ತಿದೆ ಟಿವಿಎಸ್ ಕಂಪೆನಿಯ ಸ್ಟಾರ್ ಸಿಟಿ ಪ್ಲಸ್ ‘ಕಾರ್ಗಿಲ್ ಆವೃತ್ತಿ‘,2
ಅವರ ಟೇಕೆಗಳಿಗೆ ನಾನು ಯೋಗ್ಯನೆ ಪರೋಕ್ಷವಾಗಿ ಗವಾಸ್ಕರ್ಗೆ ಟಾಂಗ್ ಕೊಟ್ರ ಪಾಂಡ್ಯ,1
ಬಿಟೌನ್ ನಟ ಮಲ್ಹೋತ್ರ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ಹಾಗೂ ಸ್ನೇಹಿತರೊಂದಿಗೆ ಆಚರಿಸಿಕೊಂಡ ಕೆಲ ಚಿತ್ರಗಳು,0
ಪದ್ಮಾವತ್ ವಿಶೇಷ ಕೈಕೈ ಹಿಡಿದು ಬಂದ ರಣವೀರ್ ದೀಪಿಕಾ,0
