headline,label
CWG18 ಕುಸ್ತಿಯಲ್ಲಿ ಚಿನ್ನಗಳಿಸಿದ ರಾಹುಲ್ ಅವಾರೆ ಸುಶೀಲ್ ಕುಮಾರ್ ,1
ಸಿಡಬ್ಲ್ಯೂಜಿ 18 ರ ್ಯಾಸ್ಲಿಂಗ್‌ನಲ್ಲಿ ರಾಹುಲ್ ಅವರೇ ಸುಶೀಲ್ ಕುಮಾರ್ ಚಿನ್ನ ಗೆದ್ದಿದ್ದಾರೆ,1
ರಾಹುಲ್ ಅವೇರ್ ಸುಶೀಲ್ ಕುಮಾರ್ ಸಿಡಬ್ಲ್ಯೂಜಿ 18 ಗ್ರಾಪ್ಲಿಂಗ್‌ನಲ್ಲಿ ಚಿನ್ನ ಗೆದ್ದಿದ್ದಾರೆ,1
ಏಷ್ಯಾ ಕಪ್ 2018 ಪಾಕ್ ವಿರುದ್ಧ ಘರ್ಜಿಸಲು ರೋಹಿತ್ ಸೈನ್ಯ ಹೇಗಿದೆ,1
ಏಷ್ಯಾ ಕಪ್ 2018 ರಲ್ಲಿ ಪಾಕಿಸ್ತಾನದ ವಿರುದ್ಧ ರೋಹಿತ್ ಸೈನ್ಯವು ಹೇಗೆ ಗುಡುಗುತ್ತದೆ,1
ಏಷ್ಯಾಕಪ್ 2018 ರಲ್ಲಿ ಪಾಕಿಸ್ತಾನದ ವಿರುದ್ಧ ರೋಹಿತ್ ಸೈನ್ಯವು ಹೇಗೆ ಅಬ್ಬರಿಸುತ್ತದೆ,1
ಸಮಂತಾ ವಿಷಯದಲ್ಲಿ ಯೂ ಟರ್ನ್ ಹೊಡೆದ ನಾಗ ಚೈತನ್ಯ,0
ಸಮಂತಾ ಪ್ರಕರಣದಲ್ಲಿ ನಾಗ ಚೈತನ್ಯ ಗುತ್ತಿಗೆ ಯು ಟರ್ನ್,0
ಸಮಂತಾ ಉದಾಹರಣೆಯಲ್ಲಿ ನಾಗ ಚೈತನ್ಯ ಯು-ಟರ್ನ್ ತೆಗೆದುಕೊಂಡರು,0
 ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು ರಟ್ಟು 40 ದಾಟಿದರೂ ಹಾಟ್ ಲುಕ್ಕಿಗೇನು ಕಡಿಮೆ ಇಲ್ಲ,0
40 ದಾಟಿದರೂ ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಕುಳಿ-ಕೋಣೆಯ ಬಿಸಿ ಕಾಣಿಸುತ್ತಿಲ್ಲ,0
ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ರಹಸ್ಯವು 40 ದಾಟಿದ ನಂತರವೂ ಕಡಿಮೆ ಹಾಟ್ ಆಗಿಲ್ಲ,0
ಟೀಂ ಇಂಡಿಯಾ ಆಯ್ಕೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ,1
ಆಕ್ಟ್ ಟೀಮ್ ಇಂಡಿಯಾ ಆಯ್ಕೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ?,1
ಟೀಂ ಇಂಡಿಯಾ ಆಯ್ಕೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ?,1
ದಕ್ಷಿಣ ಆಪ್ರಿಕಾದಲ್ಲಿ ಪ್ರಣಯ ಪಕ್ಷಿಗಳಾಗಿ ವಿರುಷ್ಕಾ ದಂಪತಿ,0
