news,label
सचिन तेंडुलकरने बाळासाहेबांच्या आठवणींना दिला उजाळा,2
Sachin Tendulkar brought light to the store of Balasaheb,2
Sachin Tendulkar brought light to the recollections of Balasaheb,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकरांच्या मतदारसंघावरुन सस्पेंन्स कायम,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर. प्रकाश आंबेडकर यांच्या मतदारसंघावरून सस्पेन्स कायम आहे,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर. प्रकाश आंबेडकर यांच्या मतदारसंघातूनही नाराजी कायम आहे,2
गृहमंत्रिपद हे पार्ट टाइम नाही राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका,2
"गृहमंत्रीपद अर्धवेळ नाही, तृप्ती देसाईंची फोरमॅनवर टीका",2
"गृहमंत्रीपद अर्धवेळ नाही, राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका",2
पुण्यात आघाडीचा पोपट पुन्हा जिवंत ,2
पुण्यात आघाडीचा पोपट पुन्हा सावध झाला आहे,2
आघाडीचा पोपट पुण्यात पुन्हा जिवंत झाला आहे,2
शरद पवार यांनी मिलिंद नार्वेकर यांच्या कानात काय सांगितलं असेल,2
मिलिंद नार्वेकरांच्या कानात शरद पवार काय म्हणाले?,2
मिलिंद नार्वेकरांच्या वाट्याला शरद पवार कुठे म्हणाले?,2
ग्रेट भेटमध्ये अंजली भागवत  भाग 3,2
अंजली भागवत ग्रेट भट व्यक्तिरेखा 3,2
अंजली भागवत जबरदस्त भट भाग 3 मध्ये,2
तारक मेहताचा कलाकार विशाल ठक्कर 11 दिवसांपासून बेपत्ता,2
तारक मेहता अभिनेता विशाल ठक्कर गेल्या काही दिवसांपासून बेपत्ता आहे,2
तारिक मेहता अभिनेता विशाल ठक्कर 11 दिवसांपासून बेपत्ता,2
दंगलमुळे स्माॅल स्क्रीन थिएटर्सला फायदा,0
छोटय़ा पडद्यावरील चित्रपटगृहांना अभद्रतेचा फायदा होतो,0
दंगलीचा फायदा छोट्या पडद्यावरील चित्रपटगृहांना होतो,0
