headline,label
सचिन तेंडुलकरने बाळासाहेबांच्या आठवणींना दिला उजाळा,2
Sachin Tendulkar brought light to the memories of Balasaheb,2
सचिन तेंडुलकरने बाळासाहेबांच्या आठवणींना उजाळा दिला,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकरांच्या मतदारसंघावरुन सस्पेंन्स कायम,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकर यांच्या मतदारसंघातून निलंबन कायम,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकर यांचे मतदारसंघातून निलंबन कायम,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकर यांचे मतदारसंघातून निलंबन कायम,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकर मतदारसंघाचे निलंबन सुरूच,2
गृहमंत्रिपद हे पार्ट टाइम नाही राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका,2
गृहमंत्रीपद अर्धवेळ नाही राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका,2
गृहमंत्रीपद हे अर्धवेळ नाही राजीनामा द्या मुख्यमंत्री तृप्ती देसाईंची टीका,2
गृहमंत्रिपदाचा राजीनामा देणाऱ्या तृप्ती देसाई यांनी मुख्यमंत्र्यांवर टीका केली,2
गृहमंत्रालय अर्धवेळ नाही राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका,2
पुण्यात आघाडीचा पोपट पुन्हा जिवंत ,2
पुण्यातील आघाडीचा पोपट पुन्हा जिवंत,2
पुण्याचा प्रसिद्ध पोपट पुन्हा जिवंत,2
पुण्याचा प्रमुख पोपट पुन्हा जिवंत,2
शरद पवार यांनी मिलिंद नार्वेकर यांच्या कानात काय सांगितलं असेल,2
मिलिंद नार्वेकरांच्या कानात शरद पवार काय म्हणाले असतील,2
मिलिंद नार्वेकरांच्या कानात शरद पवार काय म्हणाले,2
ग्रेट भेटमध्ये अंजली भागवत  भाग 3,2
अंजली भागवत द ग्रेट व्हिजिट  भाग 3,2
अंजली भागवत द बिग व्हिजिट मध्ये  भाग 3,2
तारक मेहताचा कलाकार विशाल ठक्कर 11 दिवसांपासून बेपत्ता,2
तारक मेहता अभिनेता विशाल ठक्कर 11 दिवसांपासून बेपत्ता,2
तारक मेहता अभिनेता विशाल ठक्कर 11 दिवसांपासून गायब झाला आहे,2
तारक मेहता अभिनेता विशाल ठक्कर गेल्या 11 दिवसांपासून बेपत्ता आहे,2
विशाल ठक्कर तारक मेहता अभिनेता desaparecido durante 11 दिवस,2
दंगलमुळे स्माॅल स्क्रीन थिएटर्सला फायदा,0
छोट्या पडद्यावरील चित्रपटगृहांना दंगलचा फायदा,0
दंगलचा फायदा छोट्या पडद्यावरील चित्रपटगृहांना होत आहे,0
दंगलचा फायदा छोट्या पडद्यावरील चित्रपटगृहांना होतो,0
छोट्या पडद्यावरील सिनेमांना दंगलचा फायदा,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने केलं असं काही की सारेच झाले अवाक्,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने असे काही केले की सगळे अवाक झाले,0
सोनू निगमने फॅनच्या खांद्यावर हात ठेवताच सर्वांना अवाक,0
सोनू निगमने फॅनच्या खांद्यावर हात ठेवताच सर्वांना अवाक केले,0
जळगावातल्या त्या नरभक्षक बिबट्याने आतापर्यंत घेतलेत 6 बळी,2
जळगावातील त्या मानवभक्षक बिबट्याने आतापर्यंत 6 बळी घेतले आहेत,2
जळगावात तो मानवभक्षक बिबट्याने आतापर्यंत 6 जणांचा बळी घेतला आहे,2
मराठवाड्यात पावसाचं कमबॅक  मुंबईसह राज्यातही संततधार,2
मराठवाड्यात पावसाचे पुनरागमन मुंबईसह राज्यात सातत्य,2
मराठवाड्यात पावसाचे पुनरागमन मुंबईसह राज्यात ते स्थिर आहे,2
मराठवाड्यात पुन्हा पाऊस मुंबईसह राज्यात ते स्थिर आहे,2
हृतिक करतोय बायोपिक सुपर 30,0
हृतिक करत आहे बायोपिक सुपर ३०,0
हृतिक सुपर ३० बायोपिक करत आहे,0
बायोपिक सुपर ३०मध्ये हृतिक,0
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंतचं पुणे विमानतळावर जोरदार स्वागत,1
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंत हिचे पुणे विमानतळावर जंगी स्वागत करण्यात आले,1
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंत हिचे पुणे विमानतळावर जल्लोषात स्वागत करण्यात आले,1
पुणे विमानतळावर महाराष्ट्रीयन गोल्डन गर्ल तेजस्विनी सावंतचे जल्लोषात स्वागत,1
दुसऱ्याच आठवड्यात पद्मावतचा 200 कोटींचा टप्पा पार,0
पद्मावतने दुसऱ्या आठवड्यातच 200 कोटीचा टप्पा पार केला,0
पद्मावतने दुसऱ्या आठवड्यात 200 कोटीचा टप्पा ओलांडला आहे,0
पद्मावतने दुसऱ्या आठवड्यात 200 कोटींचा टप्पा पार केला,0
नागराजच्या आयुष्याची गोष्ट नाळ,0
नागराजच्या आयुष्याची नाळ,0
नागराजची जीवनकहाणी नाळ,0
नागराजची जीवनकथा होक्कुलाबल्ली,0
आपला मानूसच्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
Sonakshi Sinha in the Hindi remake of Aapla Manus,0
अप्ला मानूसच्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
Sonakshi Sinha en la nueva versión en hindi de Aapla Manus,0
चंद्रकांत गुडेवार यांची अखेर बदली,2
Chandrakant Gudewar is finally replaced,2
अखेर चंद्रकांत गुडेवार यांची बदली झाली,2
चंद्रकांत गुडेवार यांची अखेर बदली झाली आहे,2
ढिंच्याक पूजाचा पाकिस्तानी चाहता सेल्फी मैंनेचं केलं रॅप साँग,0
धियक पूजाच्या पाकिस्तानी चाहत्याने सेल्फी मैने वर रॅप केला,0
एका पाकिस्तानी चाहत्याने धियक पूजावर सेल्फी मैने वर रॅप केला,0
धियक पूजाच्या एका पाकिस्तानी चाहत्याने सेल्फी में ची खिल्ली उडवली,0
धियक पूजाच्या पाकिस्तानी चाहत्याने सेल्फी मैं वर रॅप केला,0
राज्यात प्रचाराच्या तोफा थंडावल्या गुरुवारी अखेरची परीक्षा,2
राज्यात प्रचाराच्या तोफा थंडावल्या गुरुवारी अंतिम परीक्षा,2
राज्यात प्रचाराचा दणदणाट थंडावला असून गुरुवारी अंतिम परीक्षा,2
राज्यात प्रचाराची शस्त्रे थंडावली गुरुवारी अंतिम परीक्षा,2
पुण्याचा कारभारी कोण  दादा का भाऊ ,2
