headline,label
सचिन तेंडुलकरने बाळासाहेबांच्या आठवणींना दिला उजाळा,2
बहुजन वंचित आघाडीची पहिली यादी जाहीर प्रकाश आंबेडकरांच्या मतदारसंघावरुन सस्पेंन्स कायम,2
गृहमंत्रिपद हे पार्ट टाइम नाही राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर टीका,2
पुण्यात आघाडीचा पोपट पुन्हा जिवंत ,2
शरद पवार यांनी मिलिंद नार्वेकर यांच्या कानात काय सांगितलं असेल,2
ग्रेट भेटमध्ये अंजली भागवत  भाग 3,2
तारक मेहताचा कलाकार विशाल ठक्कर 11 दिवसांपासून बेपत्ता,2
दंगलमुळे स्माॅल स्क्रीन थिएटर्सला फायदा,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने केलं असं काही की सारेच झाले अवाक्,0
जळगावातल्या त्या नरभक्षक बिबट्याने आतापर्यंत घेतलेत 6 बळी,2
मराठवाड्यात पावसाचं कमबॅक  मुंबईसह राज्यातही संततधार,2
हृतिक करतोय बायोपिक सुपर 30,0
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंतचं पुणे विमानतळावर जोरदार स्वागत,1
दुसऱ्याच आठवड्यात पद्मावतचा 200 कोटींचा टप्पा पार,0
नागराजच्या आयुष्याची गोष्ट नाळ,0
आपला मानूसच्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
चंद्रकांत गुडेवार यांची अखेर बदली,2
ढिंच्याक पूजाचा पाकिस्तानी चाहता सेल्फी मैंनेचं केलं रॅप साँग,0
राज्यात प्रचाराच्या तोफा थंडावल्या गुरुवारी अखेरची परीक्षा,2
पुण्याचा कारभारी कोण  दादा का भाऊ ,2
जस्टिस लोया यांचा मृत्यू ह्रदयविकारानंच नागपूर पोलिसांचं स्पष्टीकरण,2
मायकल शूमाकर कोमातून बाहेर,1
उद्धव ठाकरेंच्या नाणारमधल्या  सभेवर प्रकल्पग्रस्तांचा बहिष्कार,2
सोलापुरात प्रेमी युगुलांना एबीव्हीपीच्या कार्यकर्त्यांची मारहाण,2
आयसीसीच्या कार्याध्यक्षपदी एन श्रीनिवासन,1
नागपूर की गुन्हेपूर  महिन्याभरात 3 सामूहिक बलात्काराच्या घटना,2
ऐ दिल है मुश्किल VS शिवाय बॉक्स ऑफिसवर आज चुरस,0
VIDEO  कोल्हापुरात राडा पोलिसांनी केला शेतकऱ्यांवर लाठीमार,2
87वं अभासाहित्य संमेलन 3 जानेवारीला,2
नागपुरात अपघातग्रस्तांना वाचवण्यासाठी शरद पवार स्वतः धावून गेले,2
पुणे विकास आराखड्यावरुन रणकंदन काँग्रेसभाजपचा विरोध,2
औरंगाबादेत 108 रुग्णवाहिकेचे डॉक्टर आणि चालक संपावर,2
दारूच्या बाटल्यांमुळे विधान भवन परिसरात तुंबलं पाणी,2
छगन भुजबळ ईडीच्या आॅफिसमध्ये पोहचले चाैकशी सुरू,2
 हिच्यापुढे धोनी विराटचे रेकॉर्डही पडतील फिके कोण आहे ही महिला खेळाडू,1
मुख्यमंत्र्यांच्या नागपुरात चाललंय काय गुंडाने काढली प्रजासत्ताक दिनी रॅली,2
न्यूज 18 लोकमतचा दणका पाच तासात गोदावरीतले अवैध होर्डिंग हटवले,2
युती करा आणि अडीच अडीच वर्षे वाटून घ्या मागोवैद्य,2
सरकारचं नाक दाबलं तरच तोंड उघडतं शेतकऱ्यांची दोन वर्षातील आंदोलनं,2
युती तुटली तर पुन्हा निवडणुका राष्ट्रवादीचा इशारा,2
मेक्सिकोने ब्राझीलला रोखले मॅच ड्रॉ ,1
निवडणुकीत मालमत्तेची माहिती लपवल्याप्रकरणी आमदार  बच्चू कडूंवर गुन्हा दाखल,2
रेशन दुकानदाराला काळाबाजारी पडली महागात गावकर्‍यांनी काढली नग्न धिंड,2
डॅडीमध्ये अर्जुन रामपाल डॅडीफरहानची भूमिका नाही,0
VIDEO राणेंची पक्षातून हकालपट्टी करा कोकणातील भाजप नेत्याची मागणी,2
  टायगर श्रॉफशी झालेल्या ब्रेकअपनंतर दिशा कुठे होती गायब,0
पुण्यात मनसे नगरसेविका रुपाली पाटील यांच्यावर हाणामारीचा आरोप,2
बावरा मनचे सोनेरी क्षण,0
मुंबई पुणे एक्स्प्रेस वेवर दोन दिवस ब्लॉक,2
डॉ मनमोहन सिंगांवरच्या सिनेमात सुझान बरनर्ट साकारणार सोनियांची भूमिका,0
क्रिकेट जगतात नवा वाद  ऑस्ट्रेलियाचा खेळाडू मोईनला म्हणाला होता ओसामा,1
अण्णांची प्रकृती खालावली,2
मुंबईसह सांगली सोलापूरकरांचं टोल नाय देणार ,2
पोलिसांना पाहुन पळाले अन् पितळ उघडे पडले ,2
VIDEO पंकजा मुंडेंनी केलं शरद पवारांचं कौतुक म्हणाल्या पवारसाहेब या अभिनेत्यासारखे,2
