text,label
मेट्रो की इस लाइन के चलने से दक्षिणी दिल्ली से नोएडा जाने का समय काफी कम हो जाएगा और यात्रियों को रा,1
मेट्रो की इस लाइन के चलने से साउथ दिल्ली से नोएडा का सफर काफी कम हो जाएगा और यात्रियों की बचत होगी।,1
इस मेट्रो रेल लाइन से दक्षिण दिल्ली से नोएडा की यात्रा का समय काफी कम हो जाएगा और यात्रियों के पैसे भी बचेंगे।,1
इस रूट पर मेट्रो चलने से साउथ दिल्ली से नोएडा का सफर काफी कम हो जाएगा और यात्रियों के पैसे भी बचेंगे।,1
इस मेट्रो लाइन के शुरू होने से साउथ दिल्ली से नोएडा का सफर काफी कम हो जाएगा और यात्रियों की बचत होगी।,1
प्रतीक खुलेपन का आज़ाद ख्याली का और भीड़ से अलग हो जाने कासवा सौ साल के इतिहास वाले इस मोटरसाइकिल ब्,1
"खुलेपन, स्वतंत्र सोच और भीड़ से अलग दिखने की इच्छा का प्रतीक, सौ साल के इतिहास वाला यह मोटरसाइकिल ब्रांड",1
सौ साल के इतिहास के साथ यह मोटरसाइकिल ब्रांड खुलेपन और स्वतंत्र सोच का प्रतीक है,1
"सौ साल के इतिहास के साथ, यह मोटरसाइकिल ब्रांड खुलेपन, स्वतंत्र सोच और भीड़ से अलग दिखने की इच्छा का प्रतीक है",1
ख़ासकर पिछले 10 साल तक प्रधानमंत्री रहे मनमोहन सिंह को सुनने के बाद तो यह भाषण शानदार लगता हैलेकिन प,1
"खासतौर पर पिछले 10 साल से प्रधानमंत्री रहे मनमोहन सिंह को सुनने के बाद यह भाषण बहुत अच्छा लगता है, लेकिन",1
खासकर पिछले दस साल से प्रधानमंत्री रहे मनमोहन सिंह का भाषण सुनना आश्चर्यजनक लगता है।,1
खासतौर पर पिछले 10 साल से प्रधानमंत्री रहे मनमोहन सिंह की बातें सुनने के बाद तो यह भाषण कमाल का लगता है।,1
"खासतौर पर पिछले 10 साल से प्रधानमंत्री रहे मनमोहन सिंह को सुनने के बाद यह भाषण सुनने में बहुत अच्छा लगता है, लेकिन",1
चीनी भाषा में ‘नीहाव’ (क्या हाल हैं) कहकर वो अपने अध्यापक का स्वागत करते हैं ऐसे कई इंस्टीट्यूट नेपा,1
वे चीनी भाषा में 'निहाओ' (आप कैसे हैं) कहकर अपने शिक्षकों का स्वागत करते हैं।,1
वे अपने शिक्षकों को चीनी भाषा में 'निहाओ' (आप कैसे हैं) कहते हैं।,1
वे चीनी भाषा में 'निहाओ' (आप कैसे हैं) कहकर अपने शिक्षकों का अभिवादन करते हैं।,1
मुंबई पुलिस की क्राईम ब्रांच को इस जांच का जिम्मा सौंपा गया हैइस हादसे में तीन लोगों की मौत हुई है ज,1
मुंबई पुलिस की अपराध शाखा को जांच का जिम्मा सौंपा गया है। इस हादसे में तीन लोगों की मौत हो गई है.,1
मुंबई क्राइम ब्रांच को जांच का जिम्मा सौंपा गया है.इस हादसे में तीन लोगों की मौत हो गई.,1
