headline,label
सचिन तेंडुलकरने बाळासाहेबांच्या आठवणींना दिला उजाळा,2
बहुजन वंचित आघाडीची पहिली जंत्री अनावृत तेज आंबेडकरांच्या मतदारसंघावरुन सस्पेंन्स कायम,2
गृहमंत्रिपद हे पार्ट टाइम न अक्षर राजीनामा द्या तृप्ती देसाईंची मुख्यमंत्र्यांवर भाष्य,2
पुण्यात आघाडीचा मोठा पोपट पुनरपि हृदय,2
शरद पवार यांनी मिलिंद नार्वेकर यांच्या कानात काय सांगितलं असेल,2
ग्रेट भेटमध्ये ओंजळ भागवत कड तीन तारीख,2
रक्षक मेहताचा कलाकार उच्च ठक्कर 11 दिवसांपासून बेपत्ता,2
दंगलमुळे स्माॅल स्क्रीन थिएटर्सला हित,0
चाहत्याने खांद्यावर हात ठेवताच सोनू निगमने केलं असं थोडा की सारेच झाले अवाक्,0
जळगावातल्या त्या नरभक्षक बिबट्याने आतापावेतो घेतलेत 6 बलिप्रदान,2
मराठवाड्यात पावसाचं कमबॅक मुंबईसह राज्यातही संततधार,2
हृतिक करतोय बायोपिक सुपर 30,0
महाराष्ट्राची सुवर्णकन्या तेजस्विनी सावंतचं पुणे विमानतळावर भीमकाय स्वागत,1
दुसऱ्याच आठवड्यात पद्मावतचा २०० कोटींचा झेप पहारय,0
नागराजच्या आयुष्याची गोष्ट नाळ,0
वैयक्तिक मानूसच्या हिंदी रिमेकमध्ये सोनाक्षी सिन्हा,0
चंद्रमणी गुडेवार यांची अखेर बदली,2
ढिंच्याक पूजाचा पाकिस्तानी चाहता सेल्फी मैंनेचं केलं रॅप साँग,0
राज्यात प्रचाराच्या तोफा थंडावल्या गुरुवारी अखेरची तपासणी,2
पुण्याचा भ्रतार कोण थोरला भाऊ का नातेवाईक,2
जस्टिस लोया यांचा अंत ह्रदयविकारानंच नागपूर पोलिसांचं उलगडा,2
मायकल शूमाकर कोमातून बाहेर,1
उद्धव ठाकरेंच्या नाणारमधल्या सभेवर प्रकल्पग्रस्तांचा बहिष्कार,2
सोलापुरात प्रेमी युगुलांना एबीव्हीपीच्या कार्यकर्त्यांची मारहाण,2
आयसीसीच्या कार्याध्यक्षपदी एन श्रीनिवासन,1
नागपूर की गुन्हेपूर महिन्याभरात 3 सामूहिक बलात्काराच्या घडणावळ,2
ऐ दिल है मुश्किल VS शिवाय बॉक्स ऑफिसवर आज स्पर्धा,0
VIDEO कोल्हापुरात राडा पोलिसांनी केला शेतकऱ्यांवर लाठीमार,2
87वं अभासाहित्य संमेलन ३ जानेवारीला,2
नागपुरात अपघातग्रस्तांना वाचवण्यासाठी शरद पवार स्वतः धावून गेले,2
पुणे विकसन आराखड्यावरुन रणकंदन काँग्रेसभाजपचा अटकाव,2
औरंगाबादेत 108 रुग्णवाहिकेचे चिकित्सक आणि ड्रायव्हर संपावर,2
दारूच्या बाटल्यांमुळे विधान वास्तू परिसरात तुंबलं पाणी,2
छगन भुजबळ ईडीच्या आॅफिसमध्ये पोहचले चाैकशी सुरू,2
हिच्यापुढे धोनी विराटचे रेकॉर्डही पडतील फिके कोण आहे पण बया खेळाडू,1
मुख्यमंत्र्यांच्या नागपुरात चाललंय काय गुंडाने काढली लोकशाही दिनी रॅली,2
न्यूज 18 लोकमतचा दणका 5 तासात गोदावरीतले अनैतिक होर्डिंग हटवले,2
युती करा आणि अडीच अडीच वर्षे वाटून घ्या मागोवैद्य,2
सरकारचं नेढे दाबलं तरच मुखमंडळ उघडतं शेतकऱ्यांची दोन वर्षातील आंदोलनं,2
युती तुटली अंगुली फिरून निवडणुका राष्ट्रवादीचा सांकेतिक कथन,2
मेक्सिकोने ब्राझीलला रोखले मॅच ड्रॉ,1
निवडणुकीत मालमत्तेची माहितगारी लपवल्याप्रकरणी आमदार बच्चू कडूंवर गुन्हा दाखल,2
रेशन दुकानदाराला काळाबाजारी पडली महागात गावकर्‍यांनी काढली नागवा धिंड,2
डॅडीमध्ये अर्जुनवृक्ष रामपाल डॅडीफरहानची उपोद्घात न,0
VIDEO राणेंची पक्षातून अर्धेंदु करा कोकणातील भारतीय जनता पार्टी नेत्याची विवाहाचा_प्रस्ताव,2
टायगर श्रॉफशी झालेल्या ब्रेकअपनंतर दिशा कोठे होती गायब,0
पुण्यात मनसे नगरसेविका रुपाली पाटील यांच्यावर हाणामारीचा कलंक,2
बावरा मनचे सोनेरी झुरका,0
मुंबई पुणे एक्स्प्रेस वेवर दोन तारीख दिन ब्लॉक,2
डॉ मनमोहन सिंगांवरच्या सिनेमात सुझान बरनर्ट साकारणार सोनियांची प्रास्ताविक,0
क्रिकेट जगतात अननुभवी ध्येय ऑस्ट्रेलियाचा खेळाडू मोईनला म्हणाला होता ओसामा,1
अण्णांची तब्येत खालावली,2
मुंबईसह सांगली सोलापूरकरांचं टोल राग नाय देणार,2
पोलिसांना पाहुन पळाले अन् पितळ उघडे पडले,2
VIDEO पंकजा मुंडेंनी केलं शरद पवारांचं नवाजी म्हणाल्या पवारसाहेब या अभिनेत्यासारखे,2
पुणतांब्यात शेतकऱ्यांनी सरकारचं घातलं दहावं,2
फडणवीस सरकारच्या या मंत्र्याचा बंगला बेकायदा काय आहे कंठगत,2
Mauni Amavasya 2019 या दिवशी ब्रह्मा विष्णु आणि महेशही लावतात संगमात डुबकी सुधारस होतं तेज,0
मेंढपाळ आरक्षण समितीच्या कार्यकर्त्यांनी उपोषण सोडलं,2
मेरील स्ट्रीपला 20वं आॅस्कर नामांकन,0
बिग बाॅसचा राडा सलमानच्या विरोधात पोलिसात दावा दाखल,0
शनि चौथर्‍यावरील बाई प्रवेशाचा रस्ता मरण रिता,2
बाहुबली2 पाहिला न ह्यामुळे कामावरून काढून टाकलं,0
गडचिरोलीत माओवाद्यांच्या भूसुरुंग स्फोटात बारा योद्धा विद्ध,2
लिफ्ट देऊन रिक्षाचालकानेच केला लहानसा मुलीवर बलात्कार,2
मराठी बॉक्स क्रिकेट लीगच्या निमित्ताने,0
नवाजुद्दीनवर त्याच्या पहिल्या गर्लफ्रेंडनं ठोकला 2 कोटींचा दावा,0
3 इडियट्सचे फुंसुक वांगडू केबीसीमध्ये जिंकले ५० अंतर्मन,0
न अक्षर ऐश्वर्याना माधुरी केबीसी 9चं सूत्रसंचालन करणार अमिताभ बच्चनच,0
एकाच साच्यातून IV रिव्हॉल्वर 4 जणांचा हत्या,2
3 चेहरेमध्ये प्राजक्ता माळी मिलिंद जोशी आणि आतिषा नाईक,0
ऊस प्रत्येक आंदोलनमुख्यमंत्री घेणार राजू शेट्टींची भेट,2
कोलकाता जितबो रे दिल्लीवर अति विशाल जीत,1
वस्तू संमेलनाची ग्रंथदिंडी,2
वीरपत्नी स्वाती महाडिक लेफ्टनंटपदी रुजू,2
धोनी ब्रिगेड विराट सेनेवर भारी मद्रास पहिल्या स्थानावर,1
पोटच्या मुलीशी अनैतिक संबंध असल्याच्या संशय जातपंचायतीची आमानुष शिक्षा,2
ठाण्याच्या महापौरपदी शिवसेनेच्या संजय मोरेंची निवड,2
कर्जाला कंटाळून कृषक भावांची आत्महत्या,2
गवई अभिजीतची ट्विटरनं केली बोलती नाडी,0
Election 2019 शरद पवारांनी माढ्यातून माघार घेण्याची देखील आहेत ५ कारणं,2
कोण होणार कोल्हापूरचा सुभेदार,2
बाहुबलीच्या कुंकवाची चित्तरकथा,0
युवकांसाठी फडणवीस सरकारचं भन्नाट दिवाळी गिफ्ट 4738 पदांवर होणार भर्ती,2
महाराष्ट्राचं मिनी जम्मू-काश्मीर गारठलं पारा 9 अंशाखाली,2
५० लांख लोकसंख्येचा योजना वर्ल्ड कप खेळतो आणि आपण हिंदू मुस्लिम खेळतोय हरभजन सिंग,1
यात्रेकरूंच्या नातेवाईकांना अजितदादांनी ठेवलं ताटकळत,2
नैसर्गिक वायू सिलेंडरचा विस्फोट कुटुंबातील चौघांचा होरपळून वेळ,2
युती झाली न डोणा फटका बसणार भाजपच्या बैठकीत खासदारांची देखभाल,2
महाआघाडीला इंजिन जोडण्यासाठी घड्याळ उत्सुक नांदगावकरांनी केलं हे सूचक कथन,2
कोपर्डी बलात्कार आणि खून खटल्यात तिन्ही आरोपी दोषी ब्रह्मज्ञानी एकवीस नोव्हेंबरला सुनावणार शिक्षा,2
न्यूज18लोकमत इम्पॅक्ट लाखो वारकऱ्यांसाठी चंद्रभागेत उजनी धरणातून सोडलं कल्हई,2
सांगलीकर स्मृतीकडे टीम इंडियाची महिराप विश्वचषकाबद्दल म्हणते,1
छत्रपती संभाजी ब्रिगेडमध्ये फूटप्रवीण गायकवाड नव्या ब्रिगेडचे अध्यक्ष,2
आझादसाठी आमिर खान बनला सांता,0
बिनकामाचे संवादच्या निमित्तानं,0
विराट खेपा १,1
VIDEO शेतकरी प्रश्नावरून राजू शेट्टींचा मुख्यमंत्री फडणवीसांवर शांत आरोप,2
दाक्षिणात्य सुपरस्टार महाकाल बाबूने रचला इतिहास कोणताच बॉलिवूड कलावंत हे करू शकत न व्यंजन,0
९७वं नाट्य संमेलन उस्मानाबादला होणार,0
ठाण्यात माहनदारीम पोलिसदल कॉन्स्टेबलची गळफास लावून आत्महत्या,2
बंजारा समाजाचा होळीचा जलसा,2
गौरी आल्या घरामध्ये इशा केसकर,0
पारोळामध्ये शाकारणी कोसळून चौघांचा अंतिमकाळ,2
महाराष्ट्राच्या राज्यपालांचा राजीनामा देण्यास अडवणूक,2
तैलस्फटिक अंबानीच्या मेहेंदी कार्यक्रमात प्रियंका चोप्रा,0
आलिया पुनः कधीमधी होतेय ट्रोल इरादा आहे या नाईट ड्रेसची नीती,0
मराठी भाषा क्रांती मोर्चाचे कुठलेही समन्वयक मुख्यमंत्र्यांच्या भेटीला जाणार नाहीत,2
नांदेडमनमाड पॅसेंजरला जाळ प्रवाशांची संरक्षण ऐरणीवर,2
बाॅलिवूडचा गाॅडफादर सलमाननं शाहरुखलाही केलं होतं लाँच,0
छगन भुजबळ बेपत्ता,2
महेंद्र फडणवीस लवकरच माजी मुख्यमंत्री होतील संजय राऊत,2
सेनेचे खा वाकचौरे करणार काँग्रेसमध्ये शिरकाव,2
एकटा विराट 730 दिवसांपासून पडतोय पाकिस्तानवर बहुत,1
दाभोलकर आणि पानसरेंवर हल्ल्यामागे सूत्रधार एकच एनडीपाटील,2
मी या अटीवरच लग्न करेन मौक्तिक बर्वे,0
कराडमध्ये भाजपा नेत्याची बाई पोलिसाला दमबाजी,2
नगरपरिषदेच्या दुसऱ्या टप्प्यात सरासरी बहात्तर टक्के मतदान दिग्गजांचा भवितव्य मतपेटीत अडलेला,2
कोल्हापुरात टोलविरोधात एल्गार टोलवसुलीचा प्रयत्न हाणून पाडला,2
काॅफी विथ रांवा होतोय सुरू या कलाकारांची असेल हाजिरी,0
एका पर्वाचा अंत,1
दक्षिण आफ्रिकेतून अकस्मात अनुष्का का परतली,0
कोर्टाच्या आदेशानंतर एसटीचा संप अखेराला पूर्वी प्रवाशांना भाऊबिजेला धीर,2
रावते तुमचा कर्मचाऱ्यांवर ग्वाही नाय कासंतप्त कर्मचाऱ्यांचा विचारपूस,2
फिल्म रिव्ह्यु दोन स्टेट्स,0
बॉलिवूडचा भाईजान,0
जायकवाडीचं पाणी अडवण्यासाठी नेतेही रस्त्यावर उतरले,2
पुण्यातील RTI कार्यकर्त्याचा मृतदेह ताम्हिणी घाटात कुटुंबाकडून हत्येचा वहीम,2
भोसरी एमआयडीसी प्रकरणात एकनाथ खडसेंना एसीबीची क्लीन चिट,2
हाच माझा वाट,0
फराह खान करणार मिस वर्ल्ड मानुषी छिल्लरला बॉलिवूडमध्ये लाँच,0
शेतकऱ्यांच्या लेकींचे अन्नत्यागते आजच्या 5 महत्त्वाच्या बातम्या,2
रेकाॅर्डब्रेक यश लातूरसाठी अत्ता 25 लक्ष लीटर चमक घेऊन वॉटर एक्स्प्रेस निघणार,2
पीएचडीचा काळा बाजार करणारी गीता पाटील मोकाट विद्यार्थ्यांचीच मुस्कटदाबी,2
शिवाजी अंडरग्राउंड इन @ 200,0
कॉ पानसरे यांच्यावर २ बंदुकीतून 5 गोळ्या झाडल्या,2
VIDEO बिग बींनी लगावला भाजपच्या मंत्र्याला टोला,0
कोकण रेल्वेची वाहतूक पुढचे 14 तास दोरी,2
महाराष्ट्राच्या राजकारणात आजपर्यंत एका पक्षाची एंट्री लोकसभेसाठी 14 उमेदवारांचीही घोषणा,2
३ सामन्यांत 3 नवे गडी भारतीय क्रिकेटपटूंनी तिसऱ्यांदा रचलाय हा इतिहास,1
मुख्यमंत्र्यांच्या हेलिकॉप्टर अपघाताला १ वर्ष समस्त ही कांबळे कुटुंबाला हानी नुकसानभरपाई नाहीच,2
राणेंना चापट अक्षताचा भूखंड बेकायदेशीर,2
देवदूत मच्छीमाराने वाचले त्या तिघांचे प्राण,2
विख्यात व्यक्ती गवई मुद्रल शिवपुत्र यांच्याकडून चोरट्याने ७५ सहस्र लांबवले,2
मराठी आरक्षणाविरोधातील अजिजी MIM आमदार इम्तियाज जलील यांनी घेतली पूर्वी,2
पाथर्डीत अडीच लाखांची लालूच घेताना पोलिसदल निरीक्षकाला तांबडा तितूर,2
शेतकऱ्यांची हृदयशूल्य थट्टा पीक विम्याचा मिळाला नुसता एक तारीख रूपया,2
सनी लिओनने केरळसाठी खरंच पंच कोटींची साहाय्य केली का,0
राज्यातल्या वृद्धत्व साखर कारखान्यांनी थकवले शेतकर्‍यांचे 1800 10000000 रुपये,2
विराट कोहलीचा डुप्लिकेट तुम्ही पाहिलात का,2
मयंक सरकारच्या विरोधात नागपुरात काँग्रेस कार्यकर्त्यांची निदर्शनं,0
लष्कराची स्पेशल झुकझुकगाडी रूळावरून घसरली डब्यात शस्त्रसाठा,2
आमिरशी टक्कर घ्यायला फैझल खान कटिबद्ध,0
नागपुरात रिकाम्या फ्लॅटमध्ये सापडली 1 पातळी 87 लाखांची रोख चौघे जणांना तुरुंग,2
सुपर 30चं फर्स्ट लूक रिलीज हृतिक रोशनचा निराळा अवतार,0
ईराणी करंडक मुंबैया फ्लॉप हनुमा विहारीच्या शतकाने शिल्लक भारताला सावरले,1
