label,text
1,विपक्ष हंगामे के गृहमंत्री राजनाथ ने मे कहा ख़बरों कोई सच्चाई नहीं स
1,नर्सों की रिहाई कैसे संभव हुई बारे भारतीय विदेश मंत्रालय ने कुछ भी बताने से इनकार कर दिया हैय
1,कई ऐसे शब्द है जिन्हें राजधानी दिल्ली में उन के संबोधन के रूप में इस्तेमाल किए जाते
1,क्या अब भाजपा ही है क्या भाजपा करने वालों की पार्टी गई हैवरिष्ठ पत्रकार आकार प
1,की इस उपलब्धि ने पूरे दक्षिण पूर्व क्षेत्र के लिए स्वास्थ्य संगठन की से पोलियो
2,कहा कि जहां भी बाजार जांच के दौरान वायरस गए वहां को मार दिया जाएग
0,कहते हैं मुझे इस बात से है कि लोग ऐसी तुलना करते हैं और ये जताने की कोशिश करते ह
2,फ्लैंडर्स और उत्तरी में युद्धकालीन कब्रिस्तानों में भटकते हुए मेरे दिमाग़ में लगातार हज़ा
2,लगभग चार फ़ीट लंबा ये यात्री जा ट्रेन के एक डिब्बे सीट के मिलाकंडक्टर ने य
1,व्यावहारिक रूप से यह तीसरे मोर्चे की तैयारी है पर बनाने वाले ही कह रहे कि औपचारिक रूप से तीसरा म
1,यह विमान मलेशिया की कुआलालंपुर से चीन की राजधानी बीजिंग जा रहा था उड़ान भरने कुछ
1,में हुए एक सभा में बोलते राष्ट्रीय जनता दल के लालू प्रसाद ने कहा ग़लत
1,बाबा रामदेव ने से कहा देश के हर में अपने भारत स्वाभिमान के पांच से 10 लाख
1,टीवी पर विज्ञापन से लेकर मोबाइल संदेशों में दिल्ली मुंबई कोलकाता और को दर्शकों को लगा
2,संवाददाता का कहना कि तहरीर चौक के पास पुल पर दोनो पक्षों ने दूसरे पर पत्थर और बोतलें
1,कभीकभी तो जानबूझ कर के कुछ अंशों प्रकाशित जाता है जिससे हंगामा बरपा और किताब क
2,अमरीका की मीडिया के अनुसार हार्डिन ने अपनी पूर्व गर्लफ्रैंड पर गर्भवती होने के लिए शुक्राणुओं
2,इस शिविर भेजे गए भटके हुए को बताया जाता है कि पढ़ाई का मतलब होगा कम्युनिस्ट पार्टी के
2,अधिकारियों के अनुसार फ़लस्तीनी के ज़रिए जमा किए गए टैक्स की रक़म भी लगा
1,समाचार एजेंसी के नौ राज्यों में की लागत से 1836 टॉवर लगाए जाएंगेनक्स
