headline,label
CWG18 ಕುಸ್ತಿಯಲ್ಲಿ ಚಿನ್ನಗಳಿಸಿದ ರಾಹುಲ್ ಅವಾರೆ ಸುಶೀಲ್ ಕುಮಾರ್,1
ಏಷ್ಯಾ ಕಪ್ 2018 ಪಾಕ್ ವಿರುದ್ದ_ಬಗೆಯ ಘರ್ಜಿಸಲು ರೋಹಿತ್ ರಣಕಲಿ ಹೇಗಿದೆ,1
ಸಮಂತಾ ವಿಷಯದಲ್ಲಿ ಯೂ ಟರ್ನ್ ತುಂಡಾದಂತಹ ಪೃದಾಕು ಚೈತನ್ಯ_ಪ್ರಭು,0
ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ರಹಸ್ಯ ರಟ್ಟು ನಲವತ್ತು ದಾಟಿದರೂ ಹಾಟ್ ಲುಕ್ಕಿಗೇನು ಕಡಿಮೆ ಇಲ್ಲ,0
ಟೀಂ ಇಂಡಿಯಾ ಚುನಾವಣೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ,1
ತೆಂಕಲು ಆಪ್ರಿಕಾದಲ್ಲಿ ಮೋಹ ಪಕ್ಷಿಗಳಾಗಿ ವಿರುಷ್ಕಾ ದಂಪತಿ,0
ಕಾವೇರಿದ್ದ ಕಾಲಾ ವ್ಯಾಮೋಹ ಕಾಳಗ ಮಧ್ಯಾಹ್ನದ ಅನಂತರ ತಣ್ಣಗಾಯಿತು,0
ಜೇಬಿನಲ್ಲೇ ಐಫೋನ್ ಸ್ಫೋಟ ಕೋರ್ಟ್ ಮೆಟ್ಟಿಲೇರಿದ ಗಿರಾಕಿ,2
ಪಾಕ್‌ನಲ್ಲಿ ’ಪ್ಯಾಡ್‌ಮ್ಯಾನ್’ ಬರಲಿರುವ ’ಅಯ್ಯಾರಿ’ ಪಿಕ್ಜರ್ ಹಿಡಿದು_ನಿಲ್ಲಿಸು,0
ಕೊನೆಗೂ ಸೆಟ್ಟೇರಿತು ಟಕ್ಕರ್ ಸಿನಿಮಾ ಚಂದನವನಕ್ಕೆ ಎಂಟ್ರಿ ಕೊಡಲಿದ್ದಾರೆ ದರ್ಶನ್ ಸೋದರಳಿಯ,0
ನಟನಾಗಾರ ದುನಿಯಾ ವಿಜಯ್ಗೆ ಜಾಮೀನು ಸಿಗಲೆಂದು ದೈವದತ್ತ ನೀರಡಿಗೆ ಹೋದ ಅಭಿಮಾನಿಗಳು,0
ಹಮ್ ಫಿಟ್ ತೊ ಇಂಡಿಯಾ ಫಿಟ್ ಅಭಿಯಾನದ ಸವಾಲು ಸ್ವೀಕರಿಸಿರುವ ಅನುಷ್ಕಾದೀಪಿಕಾ,0
ಫಿಫಾ ವರ್ಲ್ಡ_ಕಪ್ ಅಂತಿಮ_ನಿರ್ಣಾಯಕ_ಆಟ ಅತಿರೇಕಕ್ಕೇರಿದ ಸಂಭ್ರಮಾಚರಣೆ ಅಭಿಮಾನಿಗಳ ಉನ್ಮತತ್ತತೆ ವರ್ತನೆಗೆ ವ್ಯಾಪಕ ವಿರೋಧ,1
ಫಿಫಾ ವರ್ಲ್ಡ_ಕಪ್ 2018 ಮೊದಲ ಕ್ವಾರ್ಟರ್ ಫೈನಲ್ನಲ್ಲಿ ಫ್ರಾನ್ಸ್ಉರುಗ್ವೆ ಜಗಳ_ಮಾಡು,1
Video ಸುಹಾನಾ ಬೋಲ್ಡು ಲುಕ್‍ಗೆ ಫ್ಯಾನ್ಸ್ ಫಿದಾ ಮಗಳ ಛಾಯಾ_ಚಿತ್ರ ಇರೋ ನಿಯತಕಾಲಿಕೆ ತೂತು ಮಾಡಿದ ಶಾರುಖ್,0
ಪುನೀತ್ ಬ್ಯಾನರ್ನಲ್ಲಿ ಮೂರನೇ ಚಲನಚಿತ್ರ ಹೆಸರಿಡದ ಸಿನಿಮಾಗೆ ಡ್ಯಾನೀಶ್ ಸೇಠ್ ಹೀರೋ,0
ನೂತನವಾದಂತ ಫೀಚರ್ ವಾಟ್ಸಪ್ ಮೆಸೇಜ್ಗೆ ರಿಪ್ಲೈ ಬಿಡುಗಡೆ ಈಗ ಇನ್ನಷ್ಟು ಅವಕಾಶ,2
ಶ್ರೀಮುರಳಿಗೆ ಮುವತ್ತೇಳನೆಯ ಜನ್ಮದಿನದ ವಿಲಾಸ ‘ರೋರಿಂಗ್ ಸ್ಟಾರ್’ ಬೆಂಬಲಕ್ಕೆ ನಿಂತಿರುವಂತಹ ‘ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್’,0
India Australia Live Cricket Score ಭಾರತಕ್ಕೆ ಅಗತ್ಯವಾದಷ್ಟು ಗೌರವ ಸರಣಿ ಗೆಲುವಿನ ಆವಾಸ ದೈವತ,1
