headline,label
CWG18 ಕುಸ್ತಿಯಲ್ಲಿ ಚಿನ್ನಗಳಿಸಿದ ರಾಹುಲ್ ಅವಾರೆ ಸುಶೀಲ್ ಕುಮಾರ್ ,1
CWG18 ಕುಸ್ತಿಯಲ್ಲಿ ರಾಹುಲ್ ಅವೇರ್ ಸುಶೀಲ್ ಕುಮಾರ್ ಚಿನ್ನ ಗೆದ್ದಿದ್ದಾರೆ,1
ರಾಹುಲ್ ಅವೇರ್ ಸುಶೀಲ್ ಕುಮಾರ್ CWG18 ಫೈಟ್‌ಗಳಲ್ಲಿ ಚಿನ್ನ ಗೆದ್ದಿದ್ದಾರೆ,1
ಏಷ್ಯಾ ಕಪ್ 2018 ಪಾಕ್ ವಿರುದ್ಧ ಘರ್ಜಿಸಲು ರೋಹಿತ್ ಸೈನ್ಯ ಹೇಗಿದೆ,1
ಏಷ್ಯಾಕಪ್ 2018 ರಲ್ಲಿ ಪಾಕಿಸ್ತಾನದ ವಿರುದ್ಧ ರೋಹಿತ್ ಸೈನ್ಯ ಹೇಗೆ ಘರ್ಜಿಸಲಿದೆ,1
ಏಷ್ಯಾಕಪ್ 2018 ರಲ್ಲಿ ಪಾಕಿಸ್ತಾನದ ವಿರುದ್ಧ ರೋಹಿತ್ ಸೈನ್ಯವು ಘರ್ಜಿಸುತ್ತಿದೆ,1
ಸಮಂತಾ ವಿಷಯದಲ್ಲಿ ಯೂ ಟರ್ನ್ ಹೊಡೆದ ನಾಗ ಚೈತನ್ಯ,0
ಸಮಂತಾ ಶೋಕೇಸ್ ನಲ್ಲಿ ನಾಗ ಚೈತನ್ಯ ಯು ಟರ್ನ್ ತೆಗೆದುಕೊಂಡಿದ್ದಾರೆ,0
ಸಮಂತಾ ದಾವೆಯಲ್ಲಿ ನಾಗ ಚೈತನ್ಯ ಯು ಟರ್ನ್ ತೆಗೆದುಕೊಂಡಿದ್ದಾರೆ,0
 ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು ರಟ್ಟು 40 ದಾಟಿದರೂ ಹಾಟ್ ಲುಕ್ಕಿಗೇನು ಕಡಿಮೆ ಇಲ್ಲ,0
40 ದಾಟಿದರೂ ಕಾಣಿಸಿಕೊಳ್ಳುವ ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು ಕಡಿಮೆಯಿಲ್ಲ,0
ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು 40 ದಾಟಿದರೂ ಸೆಕ್ಸಿಯರ್ ಆಗಿ ಕಾಣಿಸುತ್ತಿಲ್ಲ,0
