headline,label
ರಣಜಿ ಟ್ರೋಫಿ ಕರ್ನಾಟಕ 389 ಆಲೌಟ್ ಗುಜರಾತ್ಗೆ 14 ರನ್ಸ್ ಮುನ್ನಡೆ,1
ಅವರದ್ದೇ ಜಾವಾ ಹೊಸ ಡಾ ಪ್ರಚಾರದಲ್ಲೂ ಬೈಕ್ ರಾಜ್ಕುಮಾರ್ ಹವಾ,0
11 ವರ್ಷಗಳ ಬಳಿಕ ಪಾಕಿಸ್ತಾನಕ್ಕೆ ಕಾಲಿಡಲಿದ್ದಾರೆ ಎಬಿ ಡಿವಿಲಿಯರ್ಸ್,1
ವರ್ಷದ ಸಾಹಿತ್ಯ ಕನ್ನಡಿಗ ವಿವರ ಸಾಧಕರ ಕ್ಷೇತ್ರದ,0
ಕೊಹ್ಲಿ ಮೆಕಲಮ್ ಮತ್ತು ಚಹಲ್ ಡ್ಯಾನ್ಸ್ ನೋಡಿ,1
‘ಇಂಡೇನ್ ಗ್ಯಾಸ್‘ ವೆಬ್ಸೈಟ್ನಿಂದ ಆಧಾರ್ ಮಾಹಿತಿ ಸೋರಿಕೆ,2
ವಿಮರ್ಶೆ ಪಕ್ಕಾ ಹಳ್ಳಿ ಸೊಗಡಿನ ರಂಗಸ್ಥಲಂನಲ್ಲಿ ಮಿಂಚಿದ ಚಿಟ್ಟಿಬಾಬು,0
ಇಮ್ರಾನ್ ಬೆಚ್ಚಿ ಬೀಳುತ್ತದೆ ಇಂದಿಗೂ ಜೀವನದ ಕೇಳಿದ್ರೆ ಕ್ರಿಕೆಟ್ ರಹಸ್ಯಗಳನ್ನು ಈ ಖಾನ್ ಜಗತ್ತು,1
India  New Zealand 1st T20I Live ಟಿ20 ಸರಣಿಯಲ್ಲಿ ನ್ಯೂಜಿಲೆಂಡ್ ಭರ್ಜರಿ ಶುಭಾರಂಭ,1
ರವಿಮಾಮ ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮಿಸಿದ ಕತ್ತರಿಸಿ ಕನ್ನಡದ ಸಂಭ್ರಮ 57ನೇ ಕೇಕ್ ಕ್ರೇಜಿಸ್ಟಾರ್ಗೆ,0
ವಿದರ್ಭ ನಾಗ್ಪುರ ಜಾಫರ್ ವಾಸಿಂ ರನ್ ದಾಖಲಿಸಿದ ಮಳೆ ಹರೆಯದಲ್ಲೂ ಮೈದಾನದಲ್ಲಿ 40ರ ದ್ವಿಶತಕ,1
ನಂತರ ಕಪೂರ್ ಸಂಭಾವನೆ ಬರೆದ ರೈ ಇದು ದಾಖಲೆ ಕರೀನಾ ಐಶ್ವಯಾ ಬೇಬೊ ಖಾನ್ ಹೆಚ್ಚಾಯಿತು,0
ಭಾರತ ವಿರುದ್ಧ ಆಕ್ರಮಣಕಾರಿ ಆಟಕ್ಕೆ ನಾವು ಸಿದ್ಧ ಆಸೀಸ್ ನಾಯಕ,1
ಕೇಪ್ ಟೌನ್ ಟೆಸ್ಟ್ 2ನೇ ದಿನದಾಟದಂತ್ಯಕ್ಕೆ 142 ರನ್ ಮುನ್ನಡೆ ಸಾಧಿಸಿದ ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ,1
ರಶ್ಮಿಕಾರ ಪತ್ರ ತುಂಬಿದ ಕನ್ನಡಿಗರಿಗೆ ಮಾಡಿದ್ದರೂ ಟ್ರೋಲ್ ಪ್ರೀತಿ ಎಷ್ಟೇ ಭಾವನಾತ್ಮಕ,0
‘ದಬಂಗ್ 3’ ಚಿತ್ರವನ್ನ ನಿರ್ದೇಶನ ಮಾಡಲಿದ್ದಾರೆ ಪ್ರಭುದೇವ,0
